time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-05 00:00:00+00:00,1.0,1.0,,
2023-08-06 00:00:00+00:00,2.0,2.0,,
2023-08-07 00:00:00+00:00,4.0,4.0,16.0,8.0
2023-08-08 00:00:00+00:00,5.0,4.0,21.0,5.0
2023-08-09 00:00:00+00:00,3.0,3.0,,
2023-08-10 00:00:00+00:00,2.0,2.0,3.0,2.0
2023-08-11 00:00:00+00:00,1.0,1.0,5.0,1.0
2023-08-12 00:00:00+00:00,7.0,6.0,1.0,1.0
2023-08-13 00:00:00+00:00,1.0,1.0,1.0,1.0
2023-08-14 00:00:00+00:00,3.0,3.0,,
2023-08-15 00:00:00+00:00,2.0,2.0,,
2023-08-16 00:00:00+00:00,2.0,2.0,3.0,1.0
2023-08-17 00:00:00+00:00,1.0,1.0,41.0,1.0
2023-08-18 00:00:00+00:00,,,9.0,1.0
