time_iso8601,stars_cumulative
2021-02-10 00:00:00+00:00,1
2021-05-19 00:00:00+00:00,2
2021-06-29 00:00:00+00:00,7
2021-06-30 00:00:00+00:00,9
2021-07-06 00:00:00+00:00,10
2021-07-07 00:00:00+00:00,11
2021-09-02 00:00:00+00:00,12
2021-09-18 00:00:00+00:00,13
2021-10-22 00:00:00+00:00,14
2022-02-16 00:00:00+00:00,15
2022-03-08 00:00:00+00:00,17
2022-03-11 00:00:00+00:00,18
2022-04-30 00:00:00+00:00,19
2022-05-05 00:00:00+00:00,20
2022-05-10 00:00:00+00:00,21
2022-05-22 00:00:00+00:00,22
2022-07-26 00:00:00+00:00,23
2022-10-17 00:00:00+00:00,24
2023-07-11 00:00:00+00:00,25
2024-05-14 00:00:00+00:00,26
2024-06-19 00:00:00+00:00,27
