time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-05 00:00:00+00:00,5,3,,
2022-06-06 00:00:00+00:00,5,3,,
2022-06-07 00:00:00+00:00,3,3,13.0,2.0
2022-06-08 00:00:00+00:00,4,4,23.0,4.0
2022-06-09 00:00:00+00:00,4,4,56.0,3.0
2022-06-10 00:00:00+00:00,3,3,2.0,2.0
2022-06-11 00:00:00+00:00,4,4,,
2022-06-12 00:00:00+00:00,3,2,,
2022-06-13 00:00:00+00:00,2,2,13.0,4.0
2022-06-14 00:00:00+00:00,4,3,11.0,1.0
2022-06-15 00:00:00+00:00,6,5,,
2022-06-16 00:00:00+00:00,4,4,16.0,6.0
2022-06-17 00:00:00+00:00,3,3,7.0,2.0
2022-06-18 00:00:00+00:00,1,1,,
