time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-18 00:00:00+00:00,1,1,0,0
2022-04-19 00:00:00+00:00,1,1,5,2
2022-04-20 00:00:00+00:00,1,1,0,0
2022-04-21 00:00:00+00:00,1,1,12,1
2022-04-22 00:00:00+00:00,1,1,3,1
2022-04-23 00:00:00+00:00,1,1,0,0
2022-04-24 00:00:00+00:00,1,1,0,0
2022-04-25 00:00:00+00:00,3,3,2,2
2022-04-26 00:00:00+00:00,2,2,5,3
2022-04-27 00:00:00+00:00,1,1,3,1
2022-04-28 00:00:00+00:00,1,1,0,0
2022-04-29 00:00:00+00:00,1,1,1,1
2022-04-30 00:00:00+00:00,2,2,7,2
2022-05-01 00:00:00+00:00,9,6,72,3
2022-05-02 00:00:00+00:00,4,2,14,6
2022-05-03 00:00:00+00:00,3,3,23,3
2022-05-04 00:00:00+00:00,3,3,21,5
2022-05-05 00:00:00+00:00,1,1,8,1
2022-05-06 00:00:00+00:00,2,2,4,1
2022-05-07 00:00:00+00:00,2,2,0,0
2022-05-08 00:00:00+00:00,3,3,0,0
2022-05-09 00:00:00+00:00,3,3,6,2
2022-05-10 00:00:00+00:00,2,2,5,3
2022-05-11 00:00:00+00:00,8,5,5,4
2022-05-12 00:00:00+00:00,5,3,3,1
2022-05-13 00:00:00+00:00,2,2,3,1
2022-05-14 00:00:00+00:00,2,2,0,0
2022-05-15 00:00:00+00:00,3,3,1,1
2022-05-16 00:00:00+00:00,1,1,1,1
2022-05-17 00:00:00+00:00,2,2,11,3
2022-05-18 00:00:00+00:00,6,6,26,8
2022-05-19 00:00:00+00:00,3,3,15,3
2022-05-20 00:00:00+00:00,4,4,1,1
2022-05-21 00:00:00+00:00,2,2,2,2
2022-05-22 00:00:00+00:00,4,4,2,2
2022-05-23 00:00:00+00:00,2,2,2,1
2022-05-24 00:00:00+00:00,3,3,0,0
2022-05-25 00:00:00+00:00,1,1,3,2
2022-05-26 00:00:00+00:00,3,3,1,1
2022-05-27 00:00:00+00:00,3,3,8,2
2022-05-28 00:00:00+00:00,3,3,0,0
2022-05-29 00:00:00+00:00,2,2,0,0
2022-05-30 00:00:00+00:00,2,2,1,1
2022-05-31 00:00:00+00:00,4,4,1,1
2022-06-01 00:00:00+00:00,155,6,0,0
2022-06-02 00:00:00+00:00,3,3,0,0
2022-06-03 00:00:00+00:00,3,2,0,0
2022-06-04 00:00:00+00:00,6,4,1,1
2022-06-05 00:00:00+00:00,5,3,0,0
2022-06-06 00:00:00+00:00,5,3,0,0
2022-06-07 00:00:00+00:00,3,3,13,2
2022-06-08 00:00:00+00:00,4,4,23,4
2022-06-09 00:00:00+00:00,4,4,56,3
2022-06-10 00:00:00+00:00,3,3,2,2
2022-06-11 00:00:00+00:00,4,4,0,0
2022-06-12 00:00:00+00:00,3,2,0,0
2022-06-13 00:00:00+00:00,2,2,13,4
2022-06-14 00:00:00+00:00,4,3,11,1
2022-06-15 00:00:00+00:00,6,5,0,0
2022-06-16 00:00:00+00:00,4,4,16,6
2022-06-17 00:00:00+00:00,3,3,7,2
2022-06-18 00:00:00+00:00,3,3,0,0
2022-06-19 00:00:00+00:00,2,2,0,0
2022-06-20 00:00:00+00:00,6,4,2,1
2022-06-21 00:00:00+00:00,4,2,0,0
2022-06-22 00:00:00+00:00,3,3,4,2
2022-06-23 00:00:00+00:00,2,2,0,0
2022-06-24 00:00:00+00:00,4,4,0,0
2022-06-25 00:00:00+00:00,3,3,0,0
2022-06-26 00:00:00+00:00,3,3,0,0
2022-06-27 00:00:00+00:00,3,3,1,1
2022-06-28 00:00:00+00:00,3,2,2,1
2022-06-29 00:00:00+00:00,3,3,1,1
2022-06-30 00:00:00+00:00,3,3,1,1
2022-07-01 00:00:00+00:00,3,3,1,1
2022-07-02 00:00:00+00:00,3,3,13,1
2022-07-03 00:00:00+00:00,3,3,0,0
2022-07-04 00:00:00+00:00,3,3,8,1
2022-07-05 00:00:00+00:00,3,3,8,1
2022-07-06 00:00:00+00:00,1,1,0,0
2022-07-07 00:00:00+00:00,3,2,0,0
